"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Number of vehicles travelling between Canada and the United States",24100002,427-0002,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410000201",1;3,"CURRENT - a cube available to the public and that is current",Monthly,1972-01-01,2019-04-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Trip characteristics",,
3,"Length of stay",,
4,"Mode of transportation",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Nova Scotia",[12],2,1,,,
1,"Yarmouth, Nova Scotia",,3,2,,,
1,"New Brunswick",[13],4,1,,,
1,"Andover, New Brunswick",,5,4,,,
1,"Bloomfield, New Brunswick",,6,4,,,
1,"Campobello, New Brunswick",,7,4,,,
1,"Centreville, New Brunswick",,8,4,,,
1,"Clair, New Brunswick",,9,4,,,
1,"Edmundston, New Brunswick",,10,4,,,
1,"Forest City, New Brunswick",,11,4,,,
1,"Fosterville, New Brunswick",,12,4,,,
1,"Gillespie, New Brunswick",,13,4,,,
1,"Grand Falls/Grand-Sault, New Brunswick",,14,4,,,
1,"Milltown, New Brunswick",,15,4,,,
1,"River de Chute, New Brunswick",,16,4,,,
1,"St. Andrews, New Brunswick",,17,4,,,
1,"St. Croix, New Brunswick",,18,4,,,
1,"St. Leonard, New Brunswick",,19,4,,,
1,"St. Stephen, New Brunswick",,20,4,,,
1,"Woodstock Road, New Brunswick",,21,4,,,
1,Quebec,[24],22,1,,,
1,"Abercorn, Quebec",,23,22,,,
1,"Armstrong, Quebec",,24,22,,,
1,"Beebe, Quebec",,25,22,,,
1,"Chartierville, Quebec",,26,22,,,
1,"Clarenceville, Quebec",,27,22,,,
1,"Covey Hill, Quebec",,28,22,,,
1,"Daaquam, Quebec",,29,22,,,
1,"Dundee, Quebec",,30,22,,,
1,"East Hereford, Quebec",,31,22,,,
